#topo1 ((fin.yell,fin.white),est.white,scot.yell);
#topo2 ((fin.yell,est.white),fin.white,scot.yell);
#topo3 ((fin.yell,scot.yell),fin.white,est.white);
topo1	topo2	topo3
90064	118997	125339
94085	125016	115299
87276	93926	153198
92392	107940	134068
126526	85270	122604
115472	102378	116550
129162	101864	103374
162248	97925	74227
101353	109458	123589
133620	119034	81746
115539	115410	103451
126857	104879	102664
108198	111459	114743
99715	102132	132553
113152	104069	117179
158313	89085	87002
109170	110598	114632
79353	122603	132444
124717	102860	106823
116557	92861	124982
131438	79528	123434
112946	125414	96040
103420	104772	126208
107480	120128	106792
169350	108190	56860
136694	102820	94886
97692	109493	127215
140659	99332	94409
103008	116556	114836
96494	107270	130636
170172	88446	75782
114659	130482	89259
136295	105746	92359
133792	92565	108043
101472	123350	109578
135160	94398	104842
140944	98232	95224
130387	106716	97297
113953	111978	108469
96720	122270	115410
90567	116036	127797
110112	107616	116672
102460	109126	122814
129092	128640	76668
98197	120711	115492
103440	139384	91576
126653	98378	109369
112980	91444	129976
145726	76504	112170
133675	92543	108182
105380	113990	115030
135521	97583	101296
95145	118049	121206
163220	84472	86708
120367	121703	92330
119594	102614	112192
129780	86464	118156
126772	93616	114012
126598	104810	102992
161122	100480	72798
116644	106811	110945
110984	123126	100290
108154	98604	127642
119066	121564	93770
116844	110238	107318
115118	105438	113844
130797	103693	99910
96746	113934	123720
108047	119248	107105
98792	128020	107588
119748	100212	114440
148932	89454	96014
115382	121357	97661
148739	93581	92080
86028	126218	122154
95312	93533	145555
131396	100304	102700
138168	101322	94910
111962	130409	92029
109771	116756	107873
119902	119251	95247
104452	117628	112320
62784	122464	149152
92068	135344	106988
108736	119794	105870
111981	113957	108462
81752	133290	119358
101612	128476	104312
110359	112401	111640
133927	100232	100241
111205	107249	115946
177154	75300	81946
90597	118977	124826
132928	91497	109975
101914	99991	132495
135858	91042	107500
132566	101185	100649
140976	101208	92216
117068	107989	109343
124547	106113	103740
95090	116936	122374
99103	126339	108958
90254	119470	124676
104686	122198	107516
82015	145851	106534
101046	102410	130944
120433	100175	113792
118584	105586	110230
nan	nan	nan
129534	111960	92906
130059	95867	108474
155762	86627	92011
102835	148362	83203
103181	119085	112134
97442	112158	124800
117744	107566	109090
223732	58436	52232
105422	109628	119350
113906	107727	112767
120526	104992	108882
167446	85853	81101
187416	74132	72852
118862	106526	109012
102703	104600	127097
nan	nan	nan
74444	148863	111093
nan	nan	nan
110450	131183	92767
102132	130394	101874
111378	124251	98771
121781	87304	125315
122676	94304	117420
101491	132575	100334
122458	121672	90270
134306	103633	96461
78018	128190	128192
138867	101582	93951
120152	116855	97393
91006	110743	132651
122232	108906	103262
226952	49686	57762
163514	84238	86648
144028	98872	91500
133690	97531	103179
136116	91804	106480
165702	95182	73516
109198	122962	102240
115485	114444	104471
122563	108388	103449
109240	112900	112260
124418	110922	99060
87327	115960	131113
122691	113854	97855
112921	108388	113091
150759	93596	90045
111888	105872	116640
105946	127736	100718
100737	119617	114046
111144	101460	121796
104866	132628	96906
131250	99147	104003
156200	68404	109796
171966	81610	80824
136718	98340	99342
169013	80150	85237
97390	130834	106176
106517	114584	113299
127450	120676	86274
112753	94041	127606
155172	95992	83236
130959	99485	103956
124940	104868	104592
103022	114610	116768
89990	126424	117986
101164	129488	103748
138184	88895	107321
121458	98273	114669
113377	113064	107959
133627	94251	106522
114425	111551	108424
121290	102282	110828
123888	93971	116541
122644	103792	107964
116904	97296	120200
121692	106022	106686
127436	94822	112142
174215	68957	91228
100600	131550	102250
110678	94329	129393
109148	109746	115506
103326	137288	93786
131478	114596	88326
nan	nan	nan
61397	148762	124241
140001	99292	95107
105200	100084	129116
91372	136623	106405
70149	131136	133115
129343	95152	109905
113800	111310	109290
101516	116643	116241
122403	113363	98634
123506	88172	122722
135590	89323	109487
122328	89200	122872
129965	93715	110720
101868	118528	114004
152411	83170	98819
137590	103022	93788
132728	105208	96464
112513	98245	123642
90128	89190	155082
89278	90740	154382
134628	103520	96252
125868	81020	127512
148196	86944	99260
142980	95472	95948
133158	114585	86657
128902	108284	97214
151870	65674	116856
146230	100160	88010
207212	68590	58598
128376	121598	84426
116036	117074	101290
126488	97560	110352
83600	117038	133762
145834	80362	108204
132260	108633	93507
150190	89586	94624
128806	108552	97042
103051	106323	125026
102641	123527	108232
129969	99221	105210
122977	104377	107046
95596	130975	107829
100862	116919	116619
101600	120024	112776
126166	82631	125603
137364	106238	90798
137816	87899	108685
114378	115028	104994
106609	119131	108660
113271	106371	114758
100418	119558	114424
75505	147919	110976
112064	98255	124081
126836	113036	94528
141554	101148	91698
121300	96717	116383
112286	113576	108538
149170	96716	88514
96708	124664	113028
177984	78144	78272
153828	90354	90218
101843	99050	133507
118287	119986	96127
119568	111608	103224
117402	81156	135842
96456	130712	107232
98450	109535	126415
101684	106348	126368
146076	93393	94931
138696	79468	116236
103306	100381	130713
147013	86844	100543
145540	89194	99666
232756	53016	48628
106484	105715	122201
119566	93390	121444
159311	82971	92118
153770	83542	97088
184434	77338	72628
115511	103413	115476
240592	49512	44296
140020	92854	101526
144648	101260	88492
149550	90383	94467
110653	104680	119067
112244	85954	136202
126812	107826	99762
141068	88523	104809
116170	126754	91476
nan	nan	nan
85532	114008	134860
139200	102578	92622
137620	88839	107941
127526	110909	95965
104708	125640	104052
111602	92332	130466
107196	130198	97006
134410	110103	89887
137906	101558	94936
103649	122876	107875
110564	112580	111256
87565	105505	141330
132448	97280	104672
127147	73879	133374
95040	102728	136632
151316	85704	97380
140290	83192	110918
130790	108644	94966
117266	108346	108788
132954	107582	93864
112756	109566	112078
120868	102040	111492
116340	108400	109660
128982	118866	86552
133650	129112	71638
114844	108056	111500
117128	105715	111557
158519	72123	103758
133066	101672	99662
89144	138070	107186
124780	105756	103864
114873	109613	109914
127494	111512	95394
132702	112186	89512
117755	109494	107151
165718	80646	88036
59780	127096	147524
112700	115448	106252
104066	101384	128950
127210	91935	115255
140302	92728	101370
121247	97333	115820
127406	112248	94746
106742	119461	108197
120600	107834	105966
103576	103990	126834
131866	91363	111171
82972	99706	151722
114599	109765	110036
112870	112316	109214
242788	45278	46334
136408	101812	96180
161832	96588	75980
175302	83886	75212
146682	104388	83330
170566	83880	79954
91742	155092	87566
48320	140958	145122
135056	95106	104238
162365	88620	83415
114513	95788	124099
128556	106557	99287
138512	93172	102716
104351	108170	121879
99522	116076	118802
133240	97830	103330
112548	132606	89246
121955	103470	108975
89778	118240	126382
126046	100690	107664
110629	116795	106976
88605	96855	148940
104188	72915	157297
136452	105962	91986
103922	138098	92380
121318	113198	99884
117150	114992	102258
123994	118014	92392
171601	82305	80494
153203	101674	79523
99418	141228	93754
104898	138162	91340
129938	97016	107446
193716	73942	66742
139034	92734	102632
144395	89909	100096
108414	112088	113898
140280	95674	98446
135782	107834	90784
137954	100187	96259
140708	93880	99812
113658	103315	117427
114856	78378	141166
96859	110539	127002
203852	71716	58832
63036	87092	184272
191136	69762	73502
99168	139880	95352
100372	132128	101900
125962	115788	92650
144032	80474	109894
108926	116742	108732
143544	90964	99892
133761	104322	96317
121680	116420	96300
118007	97215	119178
171404	71532	91464
nan	nan	nan
189162	59442	85796
135180	102154	97066
107559	112435	114406
116513	99014	118873
120761	125741	87898
154274	90636	89490
136372	114259	83769
138755	111860	83785
238970	34372	61058
226980	53038	54382
221476	50282	62642
168700	80266	85434
230324	50712	53364
254029	39593	40778
201336	72872	60192
243400	43484	47516
162436	95972	75992
182070	80226	72104
179684	81708	73008
190066	71696	72638
161506	111736	61158
122856	102468	109076
115776	126766	91858
130462	131278	72660
169506	79033	85861
105020	116536	112844
125311	126975	82114
102072	133436	98892
118600	113156	102644
136862	117394	80144
121953	107578	104869
147972	64636	121792
153023	80836	100541
142306	106374	85720
224238	31002	79160
192631	66254	75515
109080	101608	123712
83072	149035	102293
178170	67106	89124
73824	109252	151324
135464	103268	95668
130002	100976	103422
92435	146716	95249
106991	84358	143051
197672	65030	71698
154856	98205	81339
140565	95031	98804
136693	105817	91890
107092	115612	111696
164619	82220	87561
126648	118758	88994
161593	86067	86740
115634	85946	132820
102185	123125	109090
140369	96162	97869
171329	64414	98657
137214	111700	85486
121714	84452	128234
124070	99352	110978
nan	nan	nan
164303	83363	86734
142910	81410	110080
175310	68370	90720
139907	89721	104772
120634	110412	103354
118492	106274	109634
180332	80754	73314
149547	92979	91874
128643	82081	123676
148278	90496	95626
103065	109473	121862
142410	95240	96750
119308	98542	116550
122881	100060	111459
68477	171496	94427
88434	131718	114248
85904	127267	121229
73402	141551	119447
164896	77864	91640
156196	79812	98392
110787	121006	102607
140448	87278	106674
147146	81253	106001
166114	94295	73991
181424	67660	85316
147696	95746	90958
180622	80860	72918
131479	83291	119630
137249	98879	98272
112746	110978	110676
129661	105419	99320
93252	133461	107687
162859	83509	88032
100671	99809	133920
48302	167018	119080
124171	92085	118144
135472	99534	99394
107579	145448	81373
118660	105127	110613
117001	102134	115265
109938	102113	122349
113787	109328	111285
103816	118524	112060
145450	101166	87784
96947	131388	106065
39898	142054	152448
113936	111352	109112
112793	102783	118824
138891	98020	97489
124503	109775	100122
143306	97894	93200
nan	nan	nan
104736	126440	103224
121147	89126	124127
103157	123873	107370
104815	121356	108229
137813	95816	100771
93464	109644	131292
71504	151876	111020
119720	103659	111021
94409	140406	99585
118334	124544	91522
141464	89534	103402
100072	109804	124524
115788	119042	99570
112739	112446	109215
139566	93350	101484
85793	130972	117635
126968	96982	110450
131550	89780	113070
113013	110032	111355
90382	129250	114768
113611	110475	110314
146974	94864	92562
98393	123878	112129
108229	121383	104788
147689	98994	87717
103620	95706	135074
102987	98207	133206
183197	79207	71996
103186	116522	114692
102548	126158	105694
88348	122174	123878
108000	86440	139960
91458	93274	149668
111308	107096	115996
100106	131692	102602
107254	115364	111782
88236	114096	132068
81908	147408	105084
107758	109752	116890
122206	107374	104820
157273	86867	90260
126136	108775	99489
143446	91117	99837
163235	83715	87450
150491	93975	89934
148224	89802	96374
150394	92544	91462
141029	105381	87990
158080	102598	73722
99994	113376	121030
86128	99780	148492
103468	113253	117679
115588	110726	108086
140272	97462	96666
119560	112804	102036
141790	101196	91414
152368	88938	93094
123391	94218	116791
158744	92602	83054
132800	106752	94848
139278	104482	90640
116521	113214	104665
108989	114879	110532
158702	105426	70272
143755	106509	84136
166141	80809	87450
161744	84638	88018
116924	125302	92174
112956	114136	107308
99286	157170	77944
76731	164063	93606
66170	179086	89144
83740	140612	110048
111439	111014	111947
140527	101482	92391
93309	138958	102133
97920	113776	122704
108305	106692	119403
174429	81200	78771
114077	106688	113635
99154	114982	120264
89720	147619	97061
113204	100602	120594
161884	92986	79530
142485	88943	102972
59530	130194	144676
100830	113724	119846
116785	104719	112896
109627	114696	110077
122198	100908	111294
95623	115785	122992
123876	71136	139388
109481	100492	124427
122764	100799	110837
81042	144636	108722
98706	133143	102551
109739	118671	105990
161360	82230	90810
126094	127731	80575
172332	78275	83793
108940	110508	114952
119266	101234	113900
121915	148534	63951
105032	110892	118476
120719	116520	97161
128224	117870	88306
111711	111742	110947
93168	89348	151884
142398	98152	93850
124861	100423	109116
125996	115452	92952
82742	149957	101701
112067	119846	102487
125633	114170	94597
122507	106931	104962
94460	159528	80412
110086	118765	105549
109558	108019	116823
104127	110676	119597
140702	95557	98141
186663	72060	75677
127576	93212	113612
103887	113739	116774
92830	133904	107666
121475	89792	123133
118334	100476	115590
93596	107442	133362
124887	117509	92004
148292	87488	98620
90546	119776	124078
91746	152496	90158
95066	125576	113758
130859	112658	90883
144002	101636	88762
101615	126846	105939
89594	128814	115992
100699	103844	129857
97128	122664	114608
88938	94829	150633
115674	112374	106352
119460	106757	108183
135067	94573	104760
109667	106540	118193
nan	nan	nan
141442	91526	101432
153307	77990	103103
116992	108984	108424
186039	78617	69744
85394	107898	141108
175767	81547	77086
173934	98828	61638
173162	94182	67056
110726	124598	99076
106752	127414	100234
128458	121408	84534
128236	119624	86540
135824	100455	98121
122515	118422	93463
163320	79802	91278
119469	111845	103086
116070	89442	128888
107186	114985	112229
79199	114861	140340
172190	98056	64154
147717	56039	130644
87688	163942	82770
116876	109764	107760
110478	110633	113289
161548	81878	90974
204099	51863	78438
148296	92524	93580
167518	91532	75350
91036	161172	82192
174448	74147	85805
116693	98604	119103
183042	85748	65610
156042	71834	106524
77315	101990	155095
131572	88957	113871
165750	81492	87158
173949	76536	83915
146900	74981	112519
175206	83854	75340
97639	85885	150876
84618	126910	122872
108114	128574	97712
115808	113224	105368
122378	106140	105882
nan	nan	nan
83596	105608	145196
89202	132201	112997
107970	118733	107697
162306	66250	105844
149377	66296	118727
96771	97540	140089
136338	84394	113668
148216	83460	102724
96636	113441	124323
138725	90370	105305
162536	86960	84904
99232	82930	152238
74342	108928	151130
109013	122634	102753
102300	103802	128298
133799	95374	105227
128009	99738	106653
99142	112974	122284
144948	106048	83404
70688	179444	84268
95038	160688	78674
38412	180256	115732
nan	nan	nan
78668	115891	139841
68662	138604	127134
120210	109926	104264
97201	111600	125599
50396	137688	146316
145377	91384	97639
80190	84522	169688
124654	109841	99905
nan	nan	nan
159628	85473	89299
184157	73001	77242
98887	119702	115811
179600	65888	88912
89384	120548	124468
128480	99444	106476
144088	92207	98105
162940	101935	69525
101734	104584	128082
148453	104021	81926
147358	88906	98136
50670	154392	129338
87876	140822	105702
119782	122561	92057
108392	133260	92748
152928	86406	95066
110706	120906	102788
153650	95691	85059
78408	115700	140292
144574	119266	70560
127906	96190	110304
137082	93110	104208
94726	132491	107183
99855	102510	132035
118476	104151	111773
121299	104671	108430
121643	124288	88469
73670	108458	152272
119826	120896	93678
92308	128480	113612
102352	109446	122602
98553	129163	106684
113202	128379	92819
149000	85170	100230
115610	117950	100840
127716	92482	114202
178198	72132	84070
159215	92638	82547
122788	114946	96666
131776	112100	90524
132848	124948	76604
84058	160271	90071
102052	141054	91294
92277	96177	145946
130446	96968	106986
95586	118602	120212
94238	89770	150392
185632	58630	90138
106954	105667	121779
139012	79714	115674
101202	107654	125544
112520	110676	111204
95184	130902	108314
100856	96652	136892
148453	72484	113463
132928	127806	73666
110322	113270	110808
125224	73018	136158
157990	65131	111279
137642	80716	116042
133468	80276	120656
107460	110168	116772
119331	99816	115253
136568	96618	101214
120714	67640	146046
119336	115414	99650
92288	113848	128264
107732	83004	143664
101575	114776	118049
86720	116108	131572
112373	111284	110743
91732	147150	95518
101197	117323	115880
113762	106818	113820
105545	117779	111076
91718	112327	130355
113322	98291	122787
126545	101688	106167
89014	126589	118797
84654	160314	89432
86132	148706	99562
117726	132768	83906
183572	101698	49130
122842	116544	95014
127940	122435	84025
79744	159296	95360
83866	147970	102564
108074	157693	68633
91330	91044	152026
118964	91352	124084
103186	128156	103058
130404	110559	93437
129514	119492	85394
123308	130862	80230
121738	102224	110438
134986	107736	91678
103418	105588	125394
88805	153955	91640
102378	125648	106374
112858	119772	101770
89212	132706	112482
80364	142100	111936
71200	165096	98104
72668	170202	91530
62073	206272	66055
73442	179670	81288
109202	102516	122682
82853	143754	107793
109368	77358	147674
107509	128550	98341
101105	117918	115377
115112	109280	110008
153479	102864	78057
179480	94016	60904
135340	114183	84877
106810	110054	117536
126309	104696	103395
164494	85752	84154
136803	96156	101441
118140	111024	105236
118285	103257	112858
140158	102262	91980
121720	106782	105898
111906	117168	105326
135001	96227	103172
110311	102642	121447
202287	66516	65597
136492	99526	98382
143121	99231	92048
117590	110879	105931
96816	124695	112889
85284	114906	134210
107449	91905	135046
84296	101726	148378
111888	108636	113876
90518	122274	121608
160437	81987	91976
101209	112872	120319
103198	119326	111876
112198	89711	132491
104574	95706	134120
124950	102652	106798
103844	106207	124349
141318	77364	115718
129812	93818	110770
110524	125456	98420
127320	105042	102038
107307	113093	114000
144135	95290	94975
164283	78493	91624
113739	107522	113139
116402	108711	109287
116364	108952	109084
121346	107518	105536
104302	114096	116002
81157	117756	135487
134272	102942	97186
151884	75966	106550
148730	81526	104144
141658	95634	97108
135171	101652	97577
146277	94458	93665
111117	108908	114375
140569	103679	90152
140577	95836	97987
137873	90679	105848
137708	96872	99820
113711	109810	110879
127038	106843	100519
171665	74599	88136
133136	91288	109976
111173	111390	111837
110842	94574	128984
105898	111378	117124
128441	109681	96278
148787	93838	91775
138980	90778	104642
121598	109238	103564
166912	80802	86686
148026	104274	82100
148410	88542	97448
102434	107004	124962
132498	105873	96029
160586	87487	86327
134246	98309	101845
175746	86049	72605
187864	69622	76914
208351	61620	64429
121660	105487	107253
194772	74244	65384
140334	103074	90992
155558	84343	94499
139800	90049	104551
138916	86472	109012
165005	74538	94857
137501	96968	99931
128175	100566	105659
110532	119602	104266
85164	134760	114476
133036	93930	107434
115700	100076	118624
139484	91224	103692
147354	92337	94709
111742	93612	129046
179685	63495	91220
143592	81382	109426
187697	58970	87733
131416	90108	112876
129242	115221	89937
137482	106439	90479
164100	120150	50150
185470	66240	82690
142250	97356	94794
96100	147810	90490
119406	144736	70258
120568	113290	100542
100461	105050	128889
158765	88987	86648
127336	81728	125336
208741	68502	57157
196796	59938	77666
95173	126463	112764
166379	77648	90373
61511	90616	182273
134039	89008	111353
184164	76592	73644
173678	73924	86798
166830	76210	91360
179192	81300	73908
132392	99446	102562
110672	104310	119418
79836	114978	139586
97534	114706	122160
147028	94789	92583
141070	102075	91255
94790	76862	162748
118397	94180	121823
105944	107878	120578
118937	105473	109990
123163	85049	126188
156744	67304	110352
133055	95840	105505
128531	98704	107165
127186	108898	98316
65642	136742	132016
74679	111546	148175
114600	104514	115286
126987	96585	110828
179202	65606	89592
116662	102170	115568
142833	88823	102744
167918	81428	85054
155958	92950	85492
116892	94618	122890
121039	118542	94819
101159	106292	126949
151336	87916	95148
176072	75810	82518
158606	89050	86744
186980	65582	81838
179118	87946	67336
237336	44774	52290
238335	45086	50979
205104	50540	78756
171568	85443	77389
180030	76417	77953
147182	97132	90086
204690	69620	60090
191949	65766	76685
45506	153956	134938
98914	111652	123834
140260	96306	97834
125631	107587	101182
165844	85516	83040
234453	50609	49338
181352	76938	76110
161119	82078	91203
130570	94185	109645
100846	130696	102858
